aX,aY,aZ,gX,gY,gZ
0.096,0.902,0.290,0.793,0.793,-1.160
0.095,0.902,0.293,1.526,1.038,-1.343
0.095,0.916,0.289,-1.221,1.770,-1.526
0.118,0.880,0.353,-29.175,2.258,1.038
0.125,0.885,0.341,-30.701,1.709,0.671
0.134,0.886,0.333,-31.494,1.282,2.502
0.136,0.876,0.331,-29.846,0.854,3.845
0.141,0.883,0.333,-29.480,0.732,5.066
0.137,0.897,0.305,-28.625,2.197,5.798
0.135,0.882,0.269,-25.330,4.456,7.507
0.114,0.878,0.314,-18.372,4.944,8.240
0.094,0.889,0.327,-9.338,3.967,8.545
0.106,0.868,0.291,-7.629,-0.732,10.010
0.083,0.862,0.329,-13.611,-4.639,13.245
0.026,0.875,0.345,-13.489,-2.258,11.963
0.027,0.852,0.360,-8.911,-0.488,6.409
0.052,0.848,0.418,-5.188,-2.808,3.967
0.029,0.903,0.418,-7.202,-5.432,2.075
0.009,0.955,0.318,-14.832,-3.052,0.488
0.029,1.001,0.255,-19.592,0.977,0.244
0.094,1.050,0.231,-18.066,4.028,0.977
0.139,1.000,0.270,-12.085,2.075,-0.549
0.125,0.913,0.307,2.441,-0.916,-0.610
0.105,0.894,0.304,6.775,-2.930,0.549
0.102,0.898,0.328,3.418,-3.296,1.160
0.092,0.895,0.317,3.296,-3.967,2.014
0.076,0.912,0.287,2.869,-2.808,2.991
0.079,0.922,0.301,0.488,-0.977,2.380
0.080,0.938,0.284,0.122,1.099,2.075
0.085,0.931,0.275,-3.418,3.052,1.709
0.088,0.914,0.276,-3.235,3.540,1.343
0.086,0.908,0.261,-2.502,3.479,2.258
0.084,0.897,0.253,-2.197,3.967,3.357
0.082,0.908,0.255,0.549,4.211,3.601
0.085,0.920,0.257,1.648,3.540,2.747
0.095,0.909,0.272,-0.610,2.136,1.404
0.097,0.878,0.292,-0.366,1.160,0.366
0.084,0.867,0.300,1.160,0.732,0.916
0.084,0.892,0.305,-0.183,1.221,1.282
0.086,0.913,0.294,-2.930,1.709,0.000
0.078,0.928,0.271,-3.540,2.625,-0.427
0.089,0.916,0.284,-1.831,3.174,-0.977
0.105,0.901,0.299,0.366,2.441,-0.366
0.103,0.893,0.304,-0.183,2.014,0.549
0.091,0.892,0.307,-0.488,0.977,0.244
0.082,0.902,0.305,-1.038,1.221,0.061
0.086,0.915,0.298,-3.113,1.221,-0.488
0.083,0.908,0.311,-1.709,1.343,-0.732
0.083,0.904,0.302,2.258,1.282,-0.427
0.085,0.904,0.291,2.563,0.977,-0.549
0.086,0.930,0.279,-2.441,1.526,-0.854
0.095,0.931,0.266,-5.432,2.502,-2.136
0.093,0.907,0.269,-3.174,2.563,-2.319
0.095,0.919,0.273,-1.404,2.502,-1.221
0.104,0.924,0.282,-0.305,1.709,-0.854
0.103,0.907,0.295,1.099,0.305,-0.854
0.092,0.895,0.309,2.197,-1.099,-0.977
0.090,0.897,0.318,2.075,-1.892,-1.038
0.091,0.911,0.319,0.793,-2.197,-0.610
0.084,0.920,0.314,0.000,-2.502,-0.427
0.075,0.921,0.303,-0.916,-2.380,-0.305
0.070,0.926,0.295,-0.793,-0.977,-0.610
0.084,0.949,0.281,-2.319,0.916,-1.953
0.096,0.941,0.274,-2.747,1.892,-1.709
0.092,0.918,0.270,0.671,2.319,-0.671
0.096,0.915,0.268,2.258,1.831,-0.061
0.096,0.907,0.278,2.502,1.282,0.244
0.118,0.946,0.405,-19.775,-3.662,-0.671
0.133,0.938,0.346,-23.437,-2.197,-1.770
0.147,0.912,0.277,-31.799,-2.075,-0.793
0.137,0.881,0.274,-41.382,0.854,2.136
0.157,0.847,0.313,-48.767,2.991,3.967
0.181,0.828,0.369,-43.457,1.282,5.615
0.162,0.877,0.328,-36.011,-2.014,6.165
0.119,0.916,0.321,-40.894,-2.869,7.874
0.082,0.924,0.348,-32.043,-3.479,9.583
0.047,0.901,0.329,-19.287,-4.700,11.169
0.019,0.844,0.271,-19.104,-5.310,13.245
-0.037,0.812,0.299,-12.085,-2.808,12.634
-0.046,0.892,0.365,-6.226,1.221,8.667
0.014,1.017,0.317,-6.042,0.977,9.277
0.033,1.091,0.245,-18.372,-3.296,10.498
0.018,1.071,0.233,-21.667,-5.249,6.287
0.024,0.972,0.257,-7.019,-4.272,5.737
0.077,0.885,0.283,8.118,-3.052,7.141
0.119,0.837,0.322,17.456,-1.831,7.202
0.121,0.857,0.342,17.212,-2.197,5.188
0.091,0.915,0.329,8.972,-2.380,3.113
0.070,0.931,0.318,2.197,-2.014,2.563
0.063,0.907,0.312,2.441,-0.916,3.418
0.064,0.900,0.297,3.967,1.099,4.822
0.064,0.903,0.284,4.028,2.808,5.737
0.058,0.910,0.255,2.258,4.639,5.066
0.066,0.914,0.257,-3.357,5.066,3.296
0.071,0.924,0.258,-3.845,4.028,1.892
0.072,0.944,0.255,-0.854,4.028,2.197
0.068,0.929,0.244,2.441,4.028,2.930
