aX,aY,aZ,gX,gY,gZ
0.136,0.889,0.367,1.526,0.061,0.793
0.130,0.870,0.364,2.747,-0.183,0.916
0.129,0.869,0.363,3.052,-0.122,0.671
0.071,0.924,0.392,-0.183,-0.854,-7.385
0.068,0.830,0.423,30.945,-1.953,-6.226
0.050,0.765,0.375,51.880,-2.563,-5.371
-0.009,0.838,0.229,47.241,-4.700,-10.193
-0.038,1.075,0.125,30.701,6.165,-15.564
-0.025,1.214,0.103,22.278,17.395,-15.625
0.017,1.145,-0.003,39.917,24.536,-13.855
0.110,1.178,0.017,62.683,37.720,-4.272
0.412,0.922,0.089,67.200,45.654,7.202
0.811,0.382,0.609,77.698,31.433,9.705
0.515,0.510,0.645,75.439,0.977,8.118
-0.030,0.743,0.382,33.325,-10.803,3.967
-0.107,0.592,0.323,-3.174,-20.203,-5.493
-0.074,0.960,0.374,-20.752,-3.723,-7.935
0.115,1.053,0.409,-31.494,2.502,-4.272
0.184,1.065,0.344,-17.883,3.052,-0.244
0.122,1.026,0.339,-3.052,-0.183,1.587
0.068,0.921,0.324,11.780,-0.122,1.282
0.104,0.818,0.328,15.747,0.916,1.953
0.139,0.807,0.363,12.146,4.089,2.197
0.104,0.868,0.368,2.991,5.615,0.793
0.106,0.954,0.350,-1.343,4.456,-0.916
0.148,0.946,0.366,1.343,1.160,-0.366
0.126,0.862,0.370,6.653,-3.479,0.549
0.093,0.835,0.384,5.310,-5.188,0.061
0.078,0.882,0.382,-0.793,-3.723,-0.061
0.061,0.903,0.341,-2.808,-1.526,-0.610
0.082,0.939,0.345,-1.953,1.709,0.061
0.126,0.936,0.362,1.465,2.563,1.587
0.138,0.865,0.362,2.747,0.061,1.770
0.129,0.882,0.345,0.793,-0.610,1.343
0.111,0.919,0.352,-1.831,-0.488,1.221
0.117,0.919,0.365,-1.160,-0.854,1.648
0.124,0.894,0.364,0.488,-2.136,1.892
0.113,0.885,0.379,0.427,-2.502,1.526
0.108,0.884,0.386,-1.099,-2.441,1.587
0.116,0.886,0.369,-1.709,-2.869,1.892
0.114,0.906,0.365,-0.854,-2.991,2.136
0.107,0.909,0.364,1.587,-2.747,2.930
0.108,0.885,0.360,4.700,-2.380,3.540
0.111,0.872,0.352,5.859,-1.587,3.723
0.114,0.882,0.347,4.700,-0.671,3.296
0.126,0.883,0.360,2.930,-0.122,2.869
0.128,0.872,0.356,3.296,-0.854,2.869
0.120,0.868,0.348,3.967,-1.221,2.808
0.118,0.891,0.357,2.563,-1.587,2.869
0.117,0.889,0.353,2.197,-2.197,2.441
0.110,0.880,0.365,2.625,-2.014,2.380
0.103,0.877,0.354,3.052,-1.587,2.319
0.105,0.881,0.359,2.502,-1.038,1.892
0.110,0.887,0.361,1.953,-0.854,1.282
0.110,0.879,0.357,2.991,-1.465,1.038
0.107,0.869,0.357,3.174,-1.404,0.793
0.112,0.867,0.362,2.075,-1.526,0.427
0.114,0.858,0.358,1.648,-1.648,0.488
0.111,0.865,0.353,1.892,-1.526,0.488
0.115,0.883,0.352,1.160,-1.160,0.427
0.113,0.888,0.350,1.282,-1.587,0.671
0.109,0.882,0.367,1.953,-1.648,0.549
0.108,0.861,0.360,3.296,-1.953,0.488
0.108,0.865,0.360,2.808,-1.831,0.122
0.112,0.883,0.358,1.221,-1.465,-0.122
0.113,0.887,0.363,1.160,-1.526,-0.061
0.110,0.880,0.353,1.648,-1.526,-0.183
0.044,1.028,0.312,-20.935,8.789,-2.930
0.002,0.943,0.247,-1.831,8.179,-5.005
0.009,0.820,0.303,21.423,8.301,-4.089
0.045,0.768,0.425,36.133,9.949,-3.906
0.045,0.824,0.322,36.194,7.263,-5.615
0.006,0.924,0.227,28.809,7.019,-13.733
0.022,1.008,0.221,28.503,12.878,-17.273
0.072,1.055,0.147,39.246,15.503,-13.306
0.195,0.989,0.149,49.805,22.705,-8.850
0.455,0.774,0.246,57.312,23.193,-4.211
0.723,0.732,0.594,61.951,17.700,-0.244
0.401,0.900,0.617,55.420,-8.301,3.174
0.013,0.763,0.319,34.790,-19.653,5.554
-0.037,0.717,0.295,15.503,-21.729,4.639
-0.069,0.962,0.339,-1.160,-12.268,-0.427
-0.021,0.986,0.339,-11.414,-0.244,1.343
0.054,1.011,0.312,-4.333,5.310,3.235
0.096,0.965,0.316,4.944,7.935,3.723
0.130,0.901,0.289,12.695,6.104,2.625
0.147,0.850,0.309,13.306,4.211,1.770
0.124,0.879,0.342,9.399,3.235,1.038
0.094,0.912,0.357,3.967,2.319,0.305
0.093,0.900,0.361,3.235,0.061,0.305
0.091,0.866,0.379,4.517,-2.380,0.427
0.084,0.845,0.375,3.479,-4.089,0.305
0.079,0.855,0.386,-0.977,-4.578,-0.244
0.076,0.880,0.381,-3.540,-3.479,-1.160
0.071,0.911,0.357,-2.075,-2.258,-1.160
0.085,0.919,0.360,0.183,0.366,0.244
0.107,0.923,0.347,3.723,0.488,0.793
0.115,0.894,0.343,5.676,-0.122,1.099
0.105,0.884,0.349,5.249,-0.610,1.587
0.094,0.894,0.349,3.479,-1.038,1.404
0.094,0.904,0.358,2.197,-1.221,1.404
0.102,0.896,0.371,3.174,-1.648,1.282
0.103,0.866,0.368,4.333,-2.380,1.526
0.092,0.852,0.368,3.662,-2.563,1.648
0.093,0.875,0.380,0.854,-2.136,1.160
0.108,0.896,0.381,0.061,-1.892,0.916
0.108,0.905,0.364,0.793,-1.404,1.038
0.100,0.893,0.356,2.747,-0.854,1.099
0.101,0.884,0.367,4.333,-0.061,0.977
0.114,0.882,0.355,4.456,0.366,0.671
0.117,0.871,0.359,3.235,0.427,0.610
0.109,0.882,0.354,1.648,0.000,0.610
0.104,0.891,0.366,1.038,-0.305,0.732
0.102,0.868,0.359,1.892,-0.916,0.549
0.096,0.876,0.359,2.075,-0.732,0.488
0.100,0.886,0.367,0.732,-0.122,-0.122
0.108,0.879,0.370,1.404,-0.366,-0.183
0.111,0.879,0.377,1.038,-0.671,0.122
0.112,0.888,0.369,0.671,-0.916,0.122
0.106,0.887,0.358,0.793,-0.854,-0.183
0.100,0.881,0.363,0.732,-0.610,0.183
0.099,0.877,0.360,0.610,-0.122,0.549
0.103,0.879,0.355,0.610,-0.244,0.793
0.100,0.883,0.362,0.732,-0.549,0.671
0.093,0.889,0.360,1.892,-0.732,0.671
0.093,0.884,0.372,2.380,-0.732,0.732
0.098,0.878,0.366,2.319,-0.732,0.732
0.096,0.873,0.359,2.258,-1.160,0.427
0.093,0.876,0.369,1.892,-0.793,0.000
0.099,0.876,0.357,1.770,-0.671,0.610
0.103,0.872,0.355,1.160,-0.244,0.488
0.048,0.913,0.235,-6.348,5.798,-10.132
0.025,0.799,0.365,28.870,7.385,-6.470
0.034,0.787,0.364,45.044,6.714,-2.747
0.039,0.841,0.313,36.743,4.883,-5.127
0.014,0.961,0.260,21.729,11.047,-7.690
0.019,1.041,0.231,17.029,12.878,-8.423
0.076,1.039,0.251,28.320,12.756,-7.874
0.139,0.978,0.147,45.105,12.207,-4.456
0.235,0.885,0.170,56.458,13.733,-3.784
0.532,0.655,0.431,50.842,16.724,-3.845
0.525,0.697,0.719,47.913,0.610,-2.930
0.050,0.971,0.380,39.429,-11.353,-2.075
-0.073,0.885,0.292,15.930,-12.451,1.709
-0.058,0.848,0.280,11.780,-10.132,0.183
0.039,0.834,0.423,3.296,1.160,1.099
0.100,0.872,0.309,-2.075,1.282,0.977
0.094,1.013,0.324,-8.545,4.395,-0.061
0.069,1.068,0.294,-0.732,5.371,-0.610
0.085,0.946,0.326,14.282,3.479,1.587
0.118,0.811,0.332,23.987,2.136,1.648
0.102,0.817,0.359,18.555,1.404,0.305
0.076,0.872,0.375,6.287,1.099,-1.038
0.084,0.881,0.371,1.221,-0.549,-1.221
0.088,0.882,0.356,1.953,-2.136,-1.770
0.085,0.907,0.380,1.648,-2.808,-1.038
0.078,0.909,0.367,1.038,-3.418,-0.061
0.063,0.887,0.359,1.221,-2.686,0.061
0.077,0.900,0.378,0.305,-1.526,-0.061
0.099,0.880,0.372,0.610,-1.648,-0.244
0.100,0.859,0.352,0.732,-2.197,0.305
0.083,0.898,0.358,-2.991,-1.770,-0.366
0.080,0.937,0.363,-4.028,-1.343,-1.038
0.087,0.920,0.346,-0.732,-1.160,-0.549
0.085,0.888,0.352,2.502,-0.977,-0.061
0.087,0.880,0.362,3.052,-0.916,-0.122
0.097,0.887,0.379,2.075,-1.099,-0.427
0.100,0.892,0.359,3.052,-1.648,-0.122
0.094,0.897,0.373,3.723,-2.319,0.366
0.091,0.887,0.363,4.456,-2.625,0.793
0.092,0.885,0.360,3.662,-1.953,1.221
0.090,0.883,0.365,3.052,-1.160,1.099
0.092,0.876,0.354,3.845,-0.977,1.465
0.094,0.889,0.360,2.869,0.061,1.831
0.095,0.897,0.352,2.930,0.122,1.892
0.094,0.897,0.353,3.723,0.488,1.831
0.095,0.887,0.360,4.089,0.305,1.831
0.094,0.877,0.367,3.723,0.000,1.282
0.087,0.867,0.372,2.808,-0.427,0.549
0.087,0.865,0.378,1.465,-0.916,0.305
0.089,0.864,0.362,0.671,-1.404,-0.305
0.089,0.875,0.369,-0.916,-1.160,-0.488
0.088,0.887,0.373,-1.770,-0.488,-0.122
0.087,0.884,0.365,-0.671,0.122,0.183
0.091,0.883,0.360,0.610,0.854,0.427
0.096,0.887,0.368,1.038,0.854,0.488
0.098,0.880,0.366,1.709,0.488,0.488
0.094,0.875,0.366,1.526,0.122,0.366
0.089,0.888,0.369,0.244,-0.122,0.122
0.087,0.890,0.366,0.000,-0.305,-0.244
0.090,0.879,0.365,0.671,-0.366,-0.122
0.094,0.880,0.368,0.793,-0.366,-0.427
0.091,0.866,0.376,1.038,-0.549,-0.244
0.083,0.867,0.358,1.160,-0.122,0.061
0.090,0.892,0.359,-0.793,1.099,-0.549
0.021,0.923,0.349,-5.554,7.324,-4.578
0.008,0.884,0.331,14.587,7.568,-5.249
0.024,0.838,0.331,23.987,7.751,-4.517
0.032,0.766,0.336,26.184,6.226,-4.883
0.018,0.807,0.357,20.813,2.747,-8.972
-0.012,0.984,0.373,19.836,4.272,-15.747
0.053,1.047,0.229,19.775,12.817,-20.508
0.134,0.962,0.182,24.170,9.338,-18.555
0.118,1.013,0.088,60.059,9.399,-9.155
0.206,0.992,0.135,69.580,22.095,-2.441
0.515,0.766,0.255,55.908,25.330,0.854
0.573,0.808,0.669,55.420,8.118,2.502
0.085,0.907,0.385,52.307,-15.991,4.761
-0.081,0.741,0.325,29.480,-15.869,6.897
-0.078,0.805,0.282,14.893,-16.296,3.052
-0.020,0.932,0.409,-2.197,-3.296,1.587
0.065,0.983,0.305,-7.202,-2.197,3.601
0.058,0.984,0.337,-0.610,-0.427,3.357
0.015,0.903,0.290,12.512,1.343,1.953
0.047,0.884,0.339,18.188,3.418,1.587
0.116,0.844,0.370,16.235,3.967,0.793
0.119,0.818,0.358,11.963,2.319,-0.793
0.072,0.861,0.365,4.578,2.075,-2.258
0.071,0.924,0.373,-1.953,1.587,-2.930
0.095,0.917,0.372,-3.662,0.000,-2.136
0.086,0.890,0.387,-1.404,-2.319,-0.793
0.072,0.899,0.391,-0.183,-4.211,-1.038
0.054,0.896,0.382,-0.305,-5.066,-1.892
0.047,0.876,0.362,-0.732,-3.601,-2.136
0.067,0.905,0.358,-1.831,-1.221,-1.953
0.090,0.918,0.356,-2.808,0.061,-1.526
0.093,0.891,0.347,-1.831,-0.366,-0.977
0.087,0.902,0.351,0.061,-0.549,-0.122
0.080,0.904,0.352,2.136,-0.610,0.366
0.088,0.897,0.352,2.991,-0.610,0.732
0.084,0.898,0.359,3.479,-0.671,0.977
0.076,0.897,0.366,3.723,-0.427,1.465
0.078,0.894,0.367,4.028,-0.977,1.526
0.088,0.884,0.380,4.089,-1.465,1.831
0.086,0.862,0.380,4.517,-2.563,1.892
0.081,0.864,0.369,2.563,-2.441,1.526
0.077,0.895,0.356,-0.427,-1.709,0.977
0.077,0.911,0.350,-1.770,-0.793,0.366
0.083,0.893,0.352,0.854,-0.244,0.244
0.086,0.880,0.342,4.578,0.000,0.793
