aX,aY,aZ,gX,gY,gZ
0.542,-0.732,0.757,4.395,-7.568,-4.456
0.638,-1.280,0.635,-93.140,154.907,128.601
0.700,-1.260,0.598,-100.830,162.781,151.489
0.764,-1.243,0.542,-104.736,165.466,173.279
0.851,-1.195,0.480,-107.056,166.321,195.557
1.001,-1.144,0.444,-106.018,163.513,212.524
1.185,-1.120,0.427,-96.130,155.396,214.600
1.335,-1.145,0.351,-74.951,143.677,201.965
1.431,-1.244,0.273,-50.476,129.456,170.715
1.409,-1.325,0.092,-36.865,120.789,132.019
1.385,-1.357,-0.097,-42.480,122.803,99.365
1.296,-1.371,-0.227,-63.782,130.066,74.768
1.199,-1.407,-0.274,-88.440,141.418,55.725
1.074,-1.428,-0.304,-110.046,153.687,40.710
0.959,-1.481,-0.330,-127.502,164.062,30.518
0.808,-1.540,-0.373,-137.451,174.133,30.457
0.621,-1.555,-0.441,-147.827,182.678,40.710
0.386,-1.519,-0.566,-159.790,195.251,60.425
0.152,-1.505,-0.627,-169.189,211.060,85.022
-0.164,-1.396,-0.811,-179.321,226.318,110.352
-0.326,-1.201,-0.844,-203.125,231.628,131.470
-0.579,-0.719,-0.936,-206.787,234.253,152.344
-0.712,-0.115,-1.020,-206.726,236.511,169.006
-0.796,0.688,-1.002,-203.491,244.263,179.443
-0.672,1.694,-1.002,-197.815,260.315,187.622
-0.678,2.681,-0.920,-176.819,269.897,183.533
-0.427,3.711,-0.875,-151.733,264.038,183.350
0.254,4.000,-0.626,-140.198,237.854,201.416
0.960,3.978,-0.268,-121.033,198.242,231.628
1.777,3.487,0.271,-81.848,130.432,256.958
2.173,2.808,0.929,-22.949,11.902,236.145
2.022,2.114,1.408,38.696,-126.038,154.907
1.631,1.493,1.760,69.092,-225.037,66.162
1.167,1.104,1.783,79.285,-237.488,5.371
0.841,0.930,1.399,84.473,-156.616,-26.062
0.619,0.876,0.750,83.374,-25.757,-37.231
0.441,0.758,0.038,76.782,98.938,-39.673
0.290,0.588,-0.476,61.768,162.537,-46.509
0.099,0.463,-0.698,45.959,138.855,-54.077
0.088,0.385,-0.658,37.048,60.852,-49.988
0.202,0.391,-0.489,35.400,-23.437,-40.161
0.317,0.396,-0.270,38.269,-83.313,-36.072
0.459,0.430,-0.066,39.978,-112.427,-34.729
0.698,0.534,0.182,38.330,-120.239,-31.799
0.900,0.713,0.308,42.114,-115.417,-32.166
1.079,0.861,0.365,47.424,-107.300,-41.626
1.175,0.954,0.355,52.856,-104.980,-58.655
1.208,0.968,0.345,56.519,-111.023,-77.393
1.200,0.967,0.352,60.974,-123.108,-93.079
1.177,0.997,0.363,67.749,-136.414,-104.126
1.128,1.002,0.361,76.355,-147.339,-111.389
1.021,0.938,0.336,87.341,-152.161,-114.563
0.950,0.867,0.281,101.501,-147.156,-112.793
0.909,0.746,0.224,115.356,-134.277,-110.840
0.864,0.621,0.140,123.169,-119.629,-112.793
0.846,0.499,0.088,122.131,-101.990,-114.136
0.829,0.411,0.077,116.028,-85.876,-112.427
0.803,0.296,0.070,110.474,-76.233,-112.366
