aX,aY,aZ,gX,gY,gZ
0.157,1,0.459,-6.592,7.568,0.305
0.32,0.707,0.437,-78.735,-0.732,-12.512
-0.069,0.847,0.423,-67.688,-26.917,10.254
-0.161,1.406,-0.209,-61.035,12.085,30.518
0.339,0.791,0.391,70.068,-15.747,-6.836
0.086,0.769,0.393,-4.395,4.517,6.042
0.156,0.867,0.378,13.55,4.761,1.221
0.152,0.854,0.368,-7.141,-0.793,-1.038
0.14,0.889,0.336,-6.592,5.371,-2.93
0.13,0.829,0.398,2.869,0.305,-4.211
0.12,0.875,0.364,-7.69,2.686,-3.967
0.142,0.891,0.365,0.977,1.465,-3.113
0.12,0.875,0.377,-2.136,-0.244,-1.648
0.149,0.906,0.358,-7.263,1.953,-0.671
0.139,0.866,0.376,1.465,-1.831,0.366
0.132,0.892,0.353,-0.671,0.122,0.305
0.145,0.87,0.367,1.465,0.183,-0.732
0.145,0.871,0.357,0.122,1.282,0.427
0.146,0.88,0.363,0.488,1.465,-0.305
0.138,0.88,0.367,-0.977,0.977,0.488
0.14,0.873,0.366,-0.305,0.854,-0.061
0.144,0.886,0.352,-0.488,1.099,-0.244
0.135,0.89,0.36,1.404,0.671,-0.427
0.149,0.877,0.357,0.793,1.465,-0.122
0.142,0.883,0.364,0.122,-0.061,0.122
0.139,0.872,0.362,0.488,1.343,0
0.15,0.87,0.376,0.061,0.305,-0.61
0.138,0.881,0.37,0.488,0.244,0.061
0.146,0.887,0.355,-0.793,0.488,0.305
0.141,0.879,0.37,-0.122,0.366,0
0.144,0.884,0.354,1.16,1.465,0.305
0.136,0.877,0.357,1.16,0.671,0.732
0.139,0.871,0.365,0.793,0.366,0.305
0.145,0.886,0.355,-0.977,1.465,0.122
0.135,0.868,0.365,0.671,1.038,0.244
0.145,0.883,0.358,-0.427,1.221,-0.61
0.145,0.89,0.369,-0.061,1.343,0.488
0.142,0.871,0.352,1.526,1.282,0.305
0.146,0.887,0.36,0.061,0.977,0.183
0.141,0.878,0.367,0.427,1.16,0.122
0.147,0.87,0.357,0.732,1.221,0
0.144,0.884,0.359,-0.427,0.977,0.244
0.136,0.872,0.385,1.099,0.305,0.854
0.146,0.847,0.365,2.502,0.671,0
0.138,0.882,0.362,-1.343,0.427,0.671
0.135,0.888,0.351,0.977,0.488,0.61
0.15,0.879,0.353,1.099,1.282,0.122
0.143,0.876,0.363,1.831,0.916,0.977
0.137,0.881,0.356,-0.244,0.854,0.793
0.146,0.88,0.362,0.854,1.343,0.061
0.138,0.884,0.368,0.305,1.038,0.732
0.143,0.882,0.359,1.038,1.282,0.427
0.14,0.869,0.366,0.244,0.854,0.61
0.139,0.881,0.371,0.977,0.732,0.671
0.147,0.876,0.357,0.977,1.038,0.427
0.146,0.87,0.361,1.099,0.977,-0.244
0.139,0.884,0.361,0.977,1.526,0.122
0.141,0.872,0.365,1.648,1.221,0.366
0.142,0.88,0.37,-0.671,1.282,0.366
0.143,0.883,0.367,0.854,0.916,0.488
0.139,0.868,0.364,0.183,0.61,0.061
0.142,0.879,0.365,0.854,0.305,0.366
0.14,0.88,0.364,-0.916,0.061,0.305
0.143,0.881,0.356,-0.549,0.366,0.488
,,,,,
0.23,0.856,0.325,-5.676,12.756,2.869
-0.004,1.241,0.084,29.602,12.634,-1.648
0.392,0.499,0.493,67.688,5.676,4.333
-0.086,0.983,0.359,-24.048,-20.874,0.61
0.173,0.864,0.352,34.851,2.502,2.136
0.164,0.791,0.393,8.057,3.662,-4.272
0.1,0.85,0.485,-1.038,-4.395,1.892
0.138,0.837,0.453,-0.488,1.831,-1.465
0.145,0.849,0.443,0.793,-1.526,1.526
0.117,0.826,0.455,2.502,-1.709,2.136
0.145,0.857,0.445,-3.296,-0.244,-1.831
0.135,0.83,0.439,-0.549,-1.587,0.244
0.127,0.827,0.428,0.549,-0.244,-1.099
0.13,0.839,0.434,0.427,0.549,0.427
0.119,0.844,0.438,0.549,-0.061,-0.061
0.131,0.836,0.447,1.648,1.16,-0.366
0.138,0.846,0.446,0.854,0.977,0.549
0.135,0.839,0.441,0.122,0.183,-0.305
0.139,0.831,0.442,-0.061,0.549,0
0.136,0.838,0.433,0.488,0.244,-0.427
0.135,0.838,0.445,-0.977,-0.183,-1.343
0.137,0.851,0.437,0.549,-0.061,-0.183
0.133,0.841,0.447,0.488,-0.061,0.183
0.137,0.839,0.443,0.427,-0.427,0.122
0.135,0.845,0.444,0.61,0.366,0.183
0.135,0.836,0.441,-0.793,0.061,-0.061
0.132,0.838,0.432,1.282,0.305,0.61
0.128,0.842,0.439,0.305,0.366,0
0.135,0.841,0.443,0.977,0.61,0.305
0.132,0.847,0.438,0.244,0.732,0.671
0.131,0.841,0.445,0.549,0.427,-0.244
0.136,0.845,0.444,0.366,0.488,0
0.13,0.838,0.439,0.854,0.854,0.366
0.132,0.843,0.437,-0.427,0.61,-0.671
0.132,0.846,0.443,0.122,-0.061,-0.183
0.131,0.839,0.434,0.366,1.099,0.549
0.133,0.85,0.436,-0.732,0.671,-0.061
0.141,0.843,0.442,0.916,0.732,-0.61
0.134,0.84,0.439,0.244,1.038,-0.244
0.136,0.838,0.443,1.404,1.221,0.366
0.141,0.851,0.442,0.122,1.099,-0.061
0.132,0.841,0.45,0.244,0.793,0.427
0.137,0.851,0.437,0.488,0.854,0.427
0.14,0.846,0.437,-0.183,0.793,0.427
0.137,0.835,0.442,0.366,0.732,0.549
0.133,0.843,0.437,0.244,0.977,0.183
0.132,0.833,0.427,0.183,1.343,0.61
0.132,0.842,0.437,-0.122,1.038,0
0.134,0.868,0.436,-0.366,1.221,0.122
0.13,0.838,0.438,0.977,1.221,0.61
0.137,0.854,0.437,-0.122,1.099,-0.061
0.128,0.844,0.444,0.671,0.244,0.916
0.141,0.85,0.437,0.488,1.16,0.488
0.137,0.829,0.437,-0.244,0.427,0.671
0.132,0.839,0.439,0.671,1.038,-0.244
0.136,0.841,0.435,1.038,1.16,0.061
0.129,0.843,0.441,0.305,0.977,0.122
0.139,0.846,0.439,0,0.732,0.122
0.141,0.844,0.434,0.427,0.732,0.366
0.133,0.837,0.44,0,0.916,-0.427
0.133,0.844,0.434,1.16,0.244,0.244
0.137,0.841,0.431,0.61,0.366,-0.305
0.141,0.848,0.437,-0.244,0.671,-0.305
0.134,0.84,0.433,0.671,0,0.549
,,,,,
0.122,0.988,0.431,-6.714,8.545,1.648
0.209,0.765,0.329,-65.674,15.198,-3.418
0.088,0.917,0.45,-62.073,-14.771,-0.854
-0.118,0.929,0.411,-48.096,-9.766,11.841
0.221,0.952,0.326,25.574,-5.432,8.423
0.123,0.763,0.399,16.907,-8.667,7.568
0.119,0.9,0.355,0.671,3.784,2.869
0.137,0.856,0.33,2.991,0.122,-2.319
0.096,0.85,0.392,0.61,1.587,-1.709
0.095,0.901,0.315,-7.446,6.897,-2.075
0.119,0.87,0.367,2.502,3.418,-2.441
0.114,0.886,0.374,-2.014,4.944,-1.587
0.128,0.906,0.367,0.61,4.517,0.183
0.124,0.872,0.384,-0.244,2.014,-0.122
0.124,0.891,0.367,-0.977,1.709,-0.122
0.13,0.865,0.361,0.488,0.427,-0.61
0.128,0.886,0.367,-1.831,-0.305,-0.549
0.123,0.883,0.357,-0.305,0.122,-1.282
0.131,0.874,0.36,-0.305,0,-0.793
0.134,0.89,0.348,-2.991,0.488,0.183
0.129,0.886,0.361,1.526,0.732,-0.122
0.124,0.872,0.358,-1.221,0.916,-0.671
0.127,0.877,0.35,0.793,0.61,-0.061
0.116,0.884,0.357,2.075,-0.061,0.366
0.133,0.896,0.356,1.831,0.488,-0.183
0.133,0.881,0.344,-0.366,1.465,0
0.127,0.867,0.363,0.488,0.061,-0.244
0.127,0.891,0.359,0.916,0.366,0.366
0.132,0.872,0.356,1.892,0.977,-0.244
0.132,0.875,0.359,-0.977,0.854,-0.732
0.117,0.895,0.341,-0.793,0.916,-0.305
0.127,0.883,0.356,1.282,-0.122,0
0.134,0.893,0.36,0.305,0.488,0.732
0.132,0.893,0.331,-1.465,1.831,-0.244
0.121,0.871,0.351,0.427,0.488,-0.427
0.12,0.899,0.352,0.732,1.099,0.183
0.134,0.882,0.353,2.625,0.916,0.366
0.135,0.894,0.354,0.122,0.916,0.61
0.129,0.882,0.348,-1.526,1.282,-0.366
